datetime,anomaly,changepoint,source_group,source_file,PC1
2020-03-09 10:14:33,0.0,0.0,valve1,valve1_0.csv,4.327479887329441
2020-03-09 10:14:34,0.0,0.0,valve1,valve1_0.csv,4.8491074527218
2020-03-09 10:14:35,0.0,0.0,valve1,valve1_0.csv,4.661242239255237
2020-03-09 10:14:36,0.0,0.0,valve1,valve1_0.csv,4.797106844723326
2020-03-09 10:14:37,0.0,0.0,valve1,valve1_0.csv,4.466199980083632
2020-03-09 10:14:38,0.0,0.0,valve1,valve1_0.csv,4.538979402694424
2020-03-09 10:14:39,0.0,0.0,valve1,valve1_0.csv,4.43077372875053
2020-03-09 10:14:40,0.0,0.0,valve1,valve1_0.csv,4.382705738758644
2020-03-09 10:14:41,0.0,0.0,valve1,valve1_0.csv,4.475712942356342
2020-03-09 10:14:42,0.0,0.0,valve1,valve1_0.csv,4.645285961823696
2020-03-09 10:14:43,0.0,0.0,valve1,valve1_0.csv,4.544115469308099
2020-03-09 10:14:44,0.0,0.0,valve1,valve1_0.csv,4.777110903077447
2020-03-09 10:14:45,0.0,0.0,valve1,valve1_0.csv,4.819702851888013
2020-03-09 10:14:46,0.0,0.0,valve1,valve1_0.csv,4.323208942538899
2020-03-09 10:14:47,0.0,0.0,valve1,valve1_0.csv,4.481303977713923
2020-03-09 10:14:48,0.0,0.0,valve1,valve1_0.csv,4.702996817104109
2020-03-09 10:14:49,0.0,0.0,valve1,valve1_0.csv,4.507778148314734
2020-03-09 10:14:50,0.0,0.0,valve1,valve1_0.csv,4.569607638287689
2020-03-09 10:14:52,0.0,0.0,valve1,valve1_0.csv,4.513642166064887
2020-03-09 10:14:53,0.0,0.0,valve1,valve1_0.csv,4.725870526614646
2020-03-09 10:14:54,0.0,0.0,valve1,valve1_0.csv,4.46603013616027
2020-03-09 10:14:55,0.0,0.0,valve1,valve1_0.csv,4.380430331308007
2020-03-09 10:14:56,0.0,0.0,valve1,valve1_0.csv,4.675085416205856
2020-03-09 10:14:57,0.0,0.0,valve1,valve1_0.csv,4.807451022880682
2020-03-09 10:14:58,0.0,0.0,valve1,valve1_0.csv,4.548572071790688
2020-03-09 10:14:59,0.0,0.0,valve1,valve1_0.csv,4.399002376621865
2020-03-09 10:15:00,0.0,0.0,valve1,valve1_0.csv,4.727921118609435
2020-03-09 10:15:01,0.0,0.0,valve1,valve1_0.csv,4.631151231148051
2020-03-09 10:15:02,0.0,0.0,valve1,valve1_0.csv,4.675344736706549
2020-03-09 10:15:03,0.0,0.0,valve1,valve1_0.csv,4.624904826860799
2020-03-09 10:15:04,0.0,0.0,valve1,valve1_0.csv,4.368976094159249
2020-03-09 10:15:05,0.0,0.0,valve1,valve1_0.csv,4.459631402097217
